0.04,-9.22566e-20,2.28278e-20,0.791956,0,1,2.65801e-19,0,-1.36934e-19,9.23492e-20,-1.25601e-19,2.47495e-21,-2.23985e-20,-1.37854e-19,-3.07943e-19,-1.0566e-21,2.31079e-20,-3.95954e-20,-4.18405e-19,-9.62801e-20,-1.43015e-19,3.69308e-21,3.98445e-19,3.15406e-19,1.23287e-19,1.66441e-19,2.86725e-21
0.041,-9.58709e-20,2.29578e-20,0.791554,0,1,2.76816e-19,0,-1.43466e-19,9.57048e-20,-1.32887e-19,2.58734e-21,-2.32889e-20,-1.43872e-19,-3.20381e-19,-1.09102e-21,2.39817e-20,-4.63525e-20,-4.33343e-19,-9.94561e-20,-1.48158e-19,3.82142e-21,4.08787e-19,3.26646e-19,1.26911e-19,1.71897e-19,2.96386e-21
0.042,-9.93772e-20,2.29975e-20,0.791142,0,1,2.87842e-19,0,-1.49964e-19,9.84794e-20,-1.39687e-19,2.69989e-21,-2.41434e-20,-1.49498e-19,-3.31415e-19,-1.1193e-21,2.48006e-20,-5.44372e-20,-4.47198e-19,-1.02842e-19,-1.53129e-19,3.9459e-21,4.19017e-19,3.37143e-19,1.30745e-19,1.77095e-19,3.05893e-21
0.043,-1.02856e-19,2.31436e-20,0.79072,0,1,2.99024e-19,0,-1.56123e-19,1.01e-19,-1.46393e-19,2.81276e-21,-2.4954e-20,-1.55022e-19,-3.42719e-19,-1.14186e-21,2.55633e-20,-6.17455e-20,-4.60186e-19,-1.06296e-19,-1.57909e-19,4.07121e-21,4.30349e-19,3.47365e-19,1.34534e-19,1.82018e-19,3.15558e-21
0.044,-1.06073e-19,2.32708e-20,0.790288,0,1,3.10082e-19,0,-1.61938e-19,1.02765e-19,-1.53209e-19,2.9222e-21,-2.5686e-20,-1.60104e-19,-3.54048e-19,-1.15562e-21,2.62377e-20,-6.95171e-20,-4.71536e-19,-1.09794e-19,-1.62754e-19,4.19196e-21,4.41344e-19,3.56523e-19,1.38229e-19,1.8702e-19,3.24682e-21
0.045,-1.09263e-19,2.3381e-20,0.789847,0,1,3.2123e-19,0,-1.6708e-19,1.0377e-19,-1.60187e-19,3.0289e-21,-2.63519e-20,-1.64753e-19,-3.6536e-19,-1.15948e-21,2.684e-20,-7.77486e-20,-4.82352e-19,-1.13113e-19,-1.6761e-19,4.31133e-21,4.52005e-19,3.66026e-19,1.41386e-19,1.91603e-19,3.33434e-21
0.046,5.44789e-06,-6.31438e-06,0.78942,-5.60167e-06,1,-5.797e-07,-8.37586e-06,-2.10887e-06,7.68508e-07,2.58076e-05,-3.67137e-11,-7.76432e-10,9.03514e-06,2.29253e-06,6.14585e-10,-6.36641e-09,-2.1777e-05,2.21681e-05,-6.26768e-07,-3.06308e-06,-1.35467e-10,-8.45852e-06,1.85722e-05,-9.19772e-05,1.94136e-06,-8.16009e-05
0.047,1.91211e-05,-1.1487e-05,0.78902,-1.75967e-05,1,1.06102e-06,-2.91507e-05,-1.45071e-05,-3.2049e-06,5.58684e-05,-5.28576e-10,6.03704e-10,2.05573e-05,-1.41226e-05,1.15059e-09,-1.26418e-08,-3.54986e-05,4.02191e-05,7.34569e-05,-8.39737e-06,-6.60784e-05,-1.02401e-05,9.36013e-06,-0.000199268,8.84925e-06,-0.000147469
0.048,4.07504e-05,-1.58582e-05,0.788651,-2.9471e-05,1,3.93834e-06,-6.16091e-05,-2.54818e-05,-1.04175e-05,8.94972e-05,-1.14764e-09,2.70457e-09,3.27088e-05,-4.22211e-05,1.59887e-09,-1.727e-08,-4.44988e-05,6.7608e-05,0.00019074,-1.58081e-05,-0.000138389,-8.55298e-06,-1.68727e-05,-0.000334309,1.65584e-05,-0.000208015
0.049,6.6557e-05,-1.96976e-05,0.788314,-4.01037e-05,1,7.45968e-06,-0.000100351,-3.31447e-05,-1.68588e-05,0.000124669,-1.24443e-09,1.25988e-09,4.33228e-05,-7.60434e-05,1.77069e-09,-1.75578e-08,-5.05689e-05,0.000117891,0.000303348,1.03945e-05,-0.000230169,-5.06193e-06,-6.81063e-05,-0.000458962,-7.81902e-06,-0.000286909
